observation_key,product,source_kind,source_url,date_text,observed_date,date_precision,source_updated_at,fetched_at,value_text,value_qualifier,session,evidence_note
fmkorea-10360993528-2025-year-end-approximate,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,작년연말,,approximate,,,28,approximate,,Previous year-end is approximate and treated as 2025; no exact day was supplied; post date 2026-09-21 anchors the year inference.
fmkorea-10360993528-2026-01-21,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,1/21,2026-01-21,day,,,36.67,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-01-27,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,1/27,2026-01-27,day,,,36.60,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-mid-february-approximate,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,2월 중순,,approximate,,,38,reported,,February timing is approximate with no exact day supplied; year 2026 is inferred from the 2026-09-21 community post.
fmkorea-10360993528-2026-03-early-approximate,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,3월 초,,approximate,,,39.2,reported,,Early March timing is approximate with no exact day supplied; year 2026 is inferred from the 2026-09-21 community post.
fmkorea-10360993528-2026-03-13,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,3/13,2026-03-13,day,,,39.33,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-03-28,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,3/28,2026-03-28,day,,,37.46,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-early-approximate,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4월초,,approximate,,,36.9,reported,,Early April timing is approximate with no exact day supplied; year 2026 is inferred from the 2026-09-21 community post.
fmkorea-10360993528-2026-04-14,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/14,2026-04-14,day,,,37.2,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-15,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/15,2026-04-15,day,,,37.43,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-16,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/16,2026-04-16,day,,,37.70,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-17,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/17,2026-04-17,day,,,38.50,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-20,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/20,2026-04-20,day,,,38.66,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-21,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/21,2026-04-21,day,,,38.83,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-04-30,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,4/30,2026-04-30,day,,,39.00,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-05-08,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,5/8,2026-05-08,day,,,39.833,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-05-14,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,5/14,2026-05-14,day,,,40.70,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-05-18,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,5/18,2026-05-18,day,,,41.26,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-06-01,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/1,2026-06-01,day,,,41.93,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-06-03,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/3,2026-06-03,day,,,42.66,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
fmkorea-10360993528-2026-06-05,DDR5 16Gb (2Gx8) 4800/5600,community,https://www.fmkorea.com/10360993528,6/5,2026-06-05,day,,,43.40,reported,,Year 2026 is inferred from the 2026-09-21 community post; value transcribed from the post body.
